product id,name,tags
1,anjeer c,"anjeercream milk is made of dried figs, powdered sugar, and powder."
2,apple c,applecream milk it is plain apple cream shake.
3,apple d,appledryfruitcrush it is a apple with dry fruits crushed over the shake
4,chiku c,chikucreammilk it is a chiku toping shake with cream
5,chiku choco,chikuwithchocolate it is a  mixture of chiku and chocolate shake toping of same thing
6,chiku d,"chikudryfruit it is chiku shake with dry fruit crushed, jelly and cream"
7,chiku,plainchiku is a basic chiku shake with chiku on it
8,choco c,chocolatecreammilk it is a plain chocolate shake with cream
9,dark choco c,darkchocolatecreammilk it is a shake of dark chololate and choco chips on it
10,dark choco d,darkchocolatedryfruit it is made up of dark chocolate and dry fruits
11,fs1,"mangofruitsaladcusturd it is a mango custurd with dry fruits crushed, jelly and cream"
12,fs2,"anjeerfruitsaladcusturd it is a anjeer custurd with dry fruits crushed, anjeer crushed."
13,fs3,"strawberryfruitsaladcusturd it is a strawberry with crush dry fruits, strawberry pieces"
14,fs4,"mixedfruitsaladcusturd it is a mix fruit custurd with multiple fruits like anjeer, apple and strawberry in it"
15,guava c,guavacreammilk it is a guava shake with tasty masala over it.
16,kaju c,kajucreammilk it is a kaju milk shake with cream and kaju topings
17,mango,plainmango it is a basic mango shake with mango pieces over it
18,mix fruit d,mixfruitdryfruit it is a mixed milkshake with all type of fruits and dry fruits
19,mixed fruit,plainmixedfruit it is basic milkshake with multiple fruits
20,papaya c,papayacreammilk it is a papaya milkshake with topings of papaya
21,papaya d,papayadryfruit it is a fruit shake with dry fruits over it
22,strawberry c,strawberrycreammilk it is a shake with crushed strawberry with cream
23,strawberry,plainstrawbrerry is plain shake with  strawberry pieces
